vnr_uid,best_algorithm,v_net_id,seed,result,v_net_num_nodes,v_net_num_edges,v_net_lifetime,v_net_demand,v_net_node_demand,v_net_link_demand,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,event_time,v_net_arrival_time,inservice_count,num_algorithms_tested,algorithms_tested
125_4_3165.0,rw_rank_bfs,125,4,False,7,14,948.7771634749412,114.0,57.0,405.0,15894.0,1247,14647.0,0.0150078988941547,0.001431688028361,3165.0,3165.0,1,24,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
126_0_1553.0,mcts,126,0,False,9,23,441.4402679220898,218.0,109.0,733.0,10495.0,1133,9362.0,0.0,0.0,1553.0,1553.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
126_0_2100.0,mip,126,0,False,16,73,930.4906359603046,1212.0,606.0,6627.0,10495.0,1133,9362.0,0.0,0.0,2100.0,2100.0,0,2,mip
126_0_3099.0,pl_rank,126,0,False,4,5,990.9451825625172,66.0,33.0,144.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,3099.0,3099.0,1,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
126_0_3156.0,mcts,126,0,False,10,26,669.54058312711,478.0,239.0,1545.0,10495.0,1133,9362.0,0.0,0.0,3156.0,3156.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
126_1_1562.0,mcts,126,1,False,12,31,299.71361990638303,454.0,227.0,1221.0,9881.0,1235,8646.0,0.0,0.0,1562.0,1562.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
126_1_3146.0,mip,126,1,False,9,17,611.5474640184489,152.0,76.0,467.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,3146.0,3146.0,1,25,"d_round,ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
126_1_3194.0,mcts,126,1,False,8,17,888.7726946460762,334.0,167.0,1003.0,9881.0,1235,8646.0,0.0,0.0,3194.0,3194.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
126_2_1585.0,mcts,126,2,False,14,43,651.092311868015,446.0,223.0,1838.0,10585.0,1285,9300.0,0.0,0.0,1585.0,1585.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
126_2_3076.0,mcts,126,2,False,12,35,127.87859091569182,598.0,299.0,2001.0,10585.0,1285,9300.0,0.0,0.0,3076.0,3076.0,0,8,"ga_meta,mcts,mip,pl_rank,r_round,rw_rank_bfs,sa_meta"
