vnr_uid,best_algorithm,v_net_id,seed,event_time,result,v_net_num_nodes,v_net_num_egdes,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_lifetime,v_net_arrival_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,inservice_count,num_algorithms_tested
151_1_3784,pl_rank,151,1,3784.0,False,2,1,62.0,31.0,25.0,464.5654496986333,3784.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
151_2_3712,rw_rank_bfs,151,2,3712.0,False,7,14,182.0,91.0,333.0,146.66679957696255,3712.0,15666.0,1286,14380.0,0.0,0.0,0,8
151_3_3853,sa_meta,151,3,3853.0,False,7,13,170.0,85.0,258.0,157.62393554906015,3853.0,15828.0,1173,14655.0,0.0,0.0,0,8
151_4_3813,pl_rank,151,4,3813.0,False,4,3,88.0,44.0,94.0,65.31064350500918,3813.0,15934.0,1266,14668.0,0.0,0.0,0,8
152_0_3755,rw_rank_bfs,152,0,3755.0,False,8,18,138.0,69.0,491.0,179.48065962404627,3755.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
152_1_3811,mcts,152,1,3811.0,False,5,7,104.0,52.0,161.0,192.26082481588935,3811.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
152_2_3734,rw_rank_bfs,152,2,3734.0,False,8,15,164.0,82.0,471.0,93.57792722223468,3734.0,15666.0,1286,14380.0,0.0,0.0,0,8
152_3_3875,ga_meta,152,3,3875.0,False,8,13,200.0,100.0,251.0,1387.0550029208707,3875.0,15828.0,1173,14655.0,0.0,0.0,0,8
152_4_3841,ga_meta,152,4,3841.0,False,6,8,66.0,33.0,144.0,52.94557096631462,3841.0,15934.0,1266,14668.0,0.0,0.0,0,8
153_0_3775,rw_rank_bfs,153,0,3775.0,False,7,11,112.0,56.0,306.0,151.9857805093752,3775.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
153_1_3834,rw_rank_bfs,153,1,3834.0,False,6,10,164.0,82.0,288.0,1105.9935419165477,3834.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
153_2_3758,pl_rank,153,2,3758.0,False,3,2,54.0,27.0,21.0,211.54472395112268,3758.0,15666.0,1286,14380.0,0.0,0.0,0,8
153_3_3896,rw_rank_bfs,153,3,3896.0,False,9,22,152.0,76.0,571.0,734.0879291075967,3896.0,15828.0,1173,14655.0,0.0,0.0,0,8
153_4_3862,rw_rank_bfs,153,4,3862.0,False,8,16,106.0,53.0,454.0,683.8328891316802,3862.0,15934.0,1266,14668.0,0.0,0.0,0,8
154_0_3800,rw_rank_bfs,154,0,3800.0,False,9,14,170.0,85.0,383.0,304.53223018485977,3800.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
154_1_3854,pl_rank,154,1,3854.0,False,4,3,120.0,60.0,84.0,781.2140055629225,3854.0,5143.0,757,4386.0,0.0091623036649214,0.0085895117540687,1,8
154_2_3779,r_round,154,2,3779.0,False,7,10,216.0,108.0,257.0,113.23018001622512,3779.0,15666.0,1286,14380.0,0.0,0.0,0,8
154_3_3922,pl_rank,154,3,3922.0,False,5,6,80.0,40.0,144.0,78.6749963784867,3922.0,15828.0,1173,14655.0,0.0,0.0,0,8
154_4_3883,pl_rank,154,4,3883.0,False,3,3,84.0,42.0,42.0,536.5844433642666,3883.0,15934.0,1266,14668.0,0.0,0.0,0,8
155_0_3825,rw_rank_bfs,155,0,3825.0,False,10,22,176.0,88.0,735.0,574.8706965009721,3825.0,5021.0,716,4305.0,0.0027855153203342,0.0096618357487923,1,8
155_1_3872,pl_rank,155,1,3872.0,False,2,1,52.0,26.0,22.0,122.63017989350628,3872.0,5188.0,764,4424.0,0.0,0.0,0,8
